show_id,viewer_id,episodes_started,episodes_completed,total_hours_watched,viewing_month,binge_watched
SH2007,V10005,9,4,1.2,2024-08,True
SH2017,V10005,29,24,12.0,2024-07,False
SH2023,V10005,5,3,2.3,2024-06,False
SH2020,V10005,38,20,14.0,2024-06,True
SH2025,V10005,30,24,18.5,2024-03,True
SH2041,V10005,27,23,15.6,2024-08,False
SH2047,V10005,2,1,0.8,2024-04,False
SH2045,V10005,7,5,3.8,2024-05,False
SH2001,V10005,26,22,10.1,2024-08,True
SH2041,V10006,17,11,6.0,2023-12,False
SH2038,V10006,2,1,0.6,2024-09,False
SH2032,V10006,30,20,8.2,2024-05,True
SH2008,V10006,7,6,4.1,2023-12,False
SH2010,V10006,1,0,0.0,2024-08,False
SH2033,V10006,7,4,2.6,2024-09,True
SH2009,V10006,14,5,1.8,2024-04,True
SH2053,V10006,20,18,11.3,2024-09,False
SH2026,V10006,18,13,10.7,2024-01,False
SH2019,V10006,1,0,0.0,2023-12,False
SH2030,V10007,4,2,1.5,2024-06,False
SH2012,V10007,20,16,7.0,2023-12,False
SH2016,V10007,2,0,0.0,2024-09,False
SH2031,V10007,17,14,11.2,2024-09,False
SH2003,V10007,5,3,2.0,2024-09,True
SH2012,V10008,5,3,1.0,2023-12,True
SH2048,V10008,6,5,3.1,2024-03,False
SH2041,V10008,12,9,5.5,2024-05,False
SH2041,V10009,3,2,1.2,2024-10,False
SH2004,V10009,50,35,22.7,2023-11,False
SH2049,V10009,16,11,9.5,2024-06,False
SH2011,V10009,3,1,0.5,2024-09,False
SH2056,V10009,7,6,5.0,2024-09,False
SH2033,V10009,9,5,3.2,2023-12,True
SH2027,V10009,2,0,0.0,2024-04,False
SH2023,V10009,16,10,4.5,2024-01,True
SH2017,V10009,8,5,3.2,2024-03,False
SH2034,V10009,4,2,1.5,2024-08,False
SH2030,V10010,9,8,2.6,2024-03,False
SH2010,V10010,25,19,12.1,2024-01,False
SH2049,V10010,18,13,7.7,2024-02,False
SH2045,V10010,30,27,17.9,2024-02,False
SH2001,V10010,23,19,15.5,2024-08,True
SH2031,V10010,16,13,10.7,2023-12,True
SH2019,V10010,3,1,0.4,2024-01,False
SH2041,V10010,25,15,13.3,2024-10,True
SH2022,V10010,9,3,1.9,2024-02,False
SH2002,V10010,31,25,20.6,2024-09,False
SH2029,V10011,12,10,5.0,2024-06,True
SH2042,V10011,24,20,6.9,2024-01,False
SH2001,V10011,14,5,3.9,2024-07,False
SH2013,V10011,2,1,0.9,2023-11,False
SH2033,V10011,1,0,0.0,2024-05,False
SH2018,V10011,7,3,1.1,2024-07,False
SH2054,V10011,3,2,0.6,2024-04,False
SH2053,V10011,31,25,16.7,2024-07,False
SH2057,V10011,7,4,2.5,2023-12,False
SH2056,V10011,35,24,16.3,2024-07,True
SH2055,V10011,16,12,3.8,2024-07,False
SH2026,V10011,27,24,11.0,2024-09,False
SH2021,V10011,14,6,2.4,2024-03,False
SH2008,V10011,3,1,0.8,2024-02,False
SH2016,V10011,1,0,0.0,2024-08,False
SH2050,V10012,34,26,8.5,2024-02,False
SH2046,V10012,10,9,4.1,2024-06,True
SH2054,V10012,8,6,2.5,2023-11,True
SH2000,V10012,11,7,6.1,2024-04,False
SH2027,V10012,3,1,0.5,2024-05,False
SH2032,V10012,30,19,6.1,2024-07,True
SH2059,V10012,1,0,0.0,2024-08,False
SH2020,V10012,17,14,9.6,2024-10,False
SH2040,V10013,21,16,6.3,2024-02,True
SH2053,V10013,40,37,15.2,2023-12,False
SH2036,V10013,3,2,1.3,2024-08,False
SH2028,V10013,11,6,2.7,2024-09,False
SH2054,V10013,8,4,1.9,2024-06,False
SH2014,V10013,10,3,1.9,2024-07,True
SH2005,V10013,5,3,1.8,2024-09,True
SH2046,V10013,26,18,13.7,2024-05,False
SH2011,V10013,4,3,2.6,2024-04,False
SH2039,V10013,5,3,2.6,2024-06,False
SH2057,V10013,8,4,3.4,2024-06,False
SH2020,V10013,24,15,6.4,2024-03,False
SH2046,V10014,8,4,2.0,2024-08,True
SH2006,V10014,1,0,0.0,2024-05,False
SH2037,V10014,6,4,1.2,2024-04,True
SH2024,V10014,28,16,10.4,2024-10,False
SH2031,V10014,15,12,4.1,2024-03,True
SH2009,V10014,6,4,2.4,2024-02,False
SH2039,V10014,8,4,1.7,2024-06,False
SH2058,V10014,32,21,15.8,2024-04,False
SH2028,V10014,18,11,3.7,2024-07,False
SH2023,V10014,22,9,-3.5,2024-10,False
SH2025,V10014,54,41,24.9,2024-08,False
SH2055,V10014,28,14,6.2,2024-03,False
SH2022,V10015,4,2,1.0,2024-04,False
SH2015,V10015,5,2,1.3,2023-12,False
SH2030,V10015,11,7,2.5,2024-01,True
SH2049,V10015,9,7,2.8,2024-06,False
SH2032,V10015,11,8,4.9,2024-05,False
SH2000,V10015,43,34,24.9,2024-01,True
SH2014,V10015,6,2,0.7,2024-05,False
SH2033,V10015,4,3,1.8,2024-03,False
SH2050,V10015,7,3,1.5,2024-01,False
SH2026,V10015,25,18,8.6,2024-09,False
SH2004,V10015,53,32,22.1,2024-06,False
SH2013,V10015,6,4,3.0,2024-05,True
SH2031,V10015,2,0,0.0,2024-03,False
SH2023,V10015,17,14,9.3,2024-03,False
SH2047,V10015,1,0,0.0,2023-11,False
SH2059,V10016,2,1,0.7,2024-09,False
SH2047,V10016,1,0,0.0,2024-10,False
SH2017,V10016,20,18,7.2,2024-10,False
SH2001,V10016,24,15,13.2,2023-11,False
SH2046,V10016,28,15,10.9,2024-05,False
SH2015,V10016,2,1,0.5,2024-06,False
SH2007,V10016,26,23,9.2,2024-07,False
SH2029,V10016,2,1,0.8,2024-05,False
SH2039,V10017,3,1,0.7,2024-08,False
SH2059,V10017,6,3,1.7,2024-06,False
SH2049,V10017,18,15,13.4,2023-11,True
SH2036,V10017,3,2,1.1,2024-07,False
SH2000,V10017,46,38,31.9,2023-12,False
SH2057,V10017,4,3,1.5,2024-10,False
SH2016,V10017,2,1,0.4,2024-01,False
SH2043,V10017,1,0,0.0,2024-08,False
SH2058,V10017,21,10,4.8,2024-09,False
SH2042,V10017,30,28,24.2,2024-05,False
SH2045,V10018,28,23,17.1,2024-08,True
SH2054,V10018,8,3,1.1,2024-07,True
SH2043,V10018,16,12,7.4,2024-08,False
SH2041,V10018,29,17,8.9,2024-09,False
SH2051,V10018,48,34,25.0,2024-04,False
SH2005,V10018,6,5,3.4,2024-01,False
SH2038,V10018,7,5,2.6,2024-07,False
SH2024,V10018,40,28,12.8,2024-08,False
SH2044,V10018,7,4,1.6,2024-04,True
SH2028,V10018,30,28,11.1,2024-09,False
SH2015,V10019,1,0,0.0,2024-03,False
SH2023,V10019,8,6,4.9,2024-07,False
SH2009,V10019,18,10,4.7,2024-04,False
SH2027,V10019,2,1,0.8,2024-08,False
SH2004,V10019,30,21,13.3,2024-08,False
SH2032,V10019,36,19,12.4,2024-05,False
SH2007,V10019,45,41,31.7,2024-02,False
SH2000,V10020,67,40,13.7,2023-12,False
SH2004,V10020,36,26,22.7,2024-03,False
SH2008,V10020,4,2,1.6,2024-01,False
SH2025,V10021,55,50,42.3,2024-08,False
SH2015,V10021,2,1,0.7,2024-09,False
SH2054,V10021,7,4,3.5,2024-01,False
SH2031,V10022,24,7,5.9,2024-05,False
SH2048,V10022,52,45,38.5,2024-02,True
SH2037,V10022,36,19,7.8,2023-11,True
SH2054,V10022,4,3,1.5,2024-03,True
SH2056,V10022,21,18,7.7,2024-06,True
SH2002,V10022,33,17,8.8,2024-05,False
SH2016,V10022,3,2,1.0,2024-09,False
SH2001,V10022,37,24,13.4,2024-04,True
SH2015,V10022,2,1,0.7,2024-03,False
SH2032,V10022,11,10,8.2,2024-01,False
SH2009,V10022,4,2,1.5,2024-01,False
SH2050,V10022,4,3,2.5,2024-10,True
SH2007,V10023,34,31,22.0,2023-12,False
SH2014,V10023,10,7,4.9,2024-08,True
SH2034,V10023,2,1,0.8,2023-11,False
SH2001,V10023,1,0,0.0,2023-11,False
SH2008,V10023,3,2,1.3,2023-11,False
SH2041,V10023,11,8,3.3,2023-11,False
SH2038,V10023,5,4,3.0,2024-01,True
SH2023,V10023,6,4,2.9,2024-02,False
SH2039,V10023,2,1,0.8,2024-09,False
SH2046,V10023,5,3,1.4,2024-05,False
SH2041,V10024,22,21,6.5,2024-06,True
SH2019,V10024,4,3,2.1,2024-06,False
SH2001,V10024,31,29,23.6,2024-05,False
SH2055,V10025,58,40,19.8,2024-02,False
SH2030,V10025,1,0,0.0,2024-10,False
SH2033,V10025,9,6,3.7,2024-04,False
SH2007,V10025,20,14,5.8,2024-02,False
SH2002,V10025,19,16,10.2,2024-09,False
SH2053,V10025,11,10,7.8,2024-04,False
SH2042,V10025,22,15,5.2,2024-10,False
SH2008,V10025,10,9,4.2,2024-04,False
SH2019,V10025,4,3,2.3,2023-12,False
SH2010,V10025,38,27,8.5,2024-09,False
SH2013,V10025,5,3,2.4,2024-07,False
SH2006,V10025,1,0,0.0,2024-08,False
SH2020,V10025,45,43,17.1,2024-03,False
SH2030,V10026,2,1,0.8,2024-03,False
SH2042,V10026,24,16,8.7,2024-04,True
SH2025,V10026,58,45,17.5,2024-08,False
SH2059,V10026,2,1,0.5,24-10,False
SH2028,V10027,37,20,6.7,2024-01,True
SH2042,V10027,26,15,10.9,2024-06,True
SH2044,V10027,2,1,0.3,2024-02,False
SH2048,V10027,5,2,1.8,2024-08,False
SH2058,V10028,20,11,6.9,2023-11,True
SH2019,V10028,2,1,0.6,2024-01,False
SH2012,V10028,20,19,10.0,2024-01,False
SH2016,V10028,2,1,0.7,2024-07,False
SH2022,V10029,9,6,4.3,2023-12,False
SH2032,V10029,8,6,4.0,2024-03,True
SH2015,V10029,5,3,2.0,2023-11,False
SH2021,V10029,20,10,4.1,2023-12,True
SH2020,V10029,26,16,13.5,2023-12,False
SH2049,V10029,25,13,5.7,2024-09,True
SH2002,V10029,24,18,10.6,2024-08,False
SH2056,V10029,29,24,19.7,2023-11,True
SH2048,V10029,29,20,11.7,2023-11,False
SH2050,V10029,14,6,2.8,2024-03,False
SH2027,V10029,2,1,0.4,2024-10,False
SH2045,V10029,39,20,10.1,2024-08,False
SH2016,V10029,3,2,1.4,2024-04,False
SH2010,V10029,30,28,17.5,2024-07,False
SH2023,V10029,14,10,6.1,2023-11,False
SH2048,V10030,2,1,0.5,2024-05,False
SH2044,V10030,7,6,5.1,2024-04,False
SH2058,V10030,25,24,11.9,2024-01,False
SH2011,V10030,9,4,1.4,2023-12,False
SH2002,V10030,12,9,6.1,2024-08,True
SH2040,V10030,27,15,9.5,2024-09,False
SH2052,V10030,6,4,1.8,2024-03,True
SH2057,V10030,3,2,0.6,2024-03,False
SH2017,V10030,28,21,18.1,2024-07,False
SH2028,V10030,38,28,12.3,2024-03,False
SH2018,V10030,3,1,0.6,2024-06,False
SH2039,V10030,4,2,1.7,2024-05,False
SH2026,V10030,13,11,3.4,2024-09,False
SH2054,V10030,4,2,1.5,2024-03,False
SH2003,V10030,2,1,0.7,2023-12,False
SH2054,V10031,3,1,0.8,2024-07,False
SH2043,V10031,4,2,0.7,2024-03,False
SH2032,V10031,4,1,0.7,2024-01,False
SH2022,V10032,4,2,1.0,2024-02,False
SH2036,V10032,6,5,3.2,2024-07,True
SH2040,V10032,27,21,8.5,2024-05,False
SH2030,V10032,7,3,1.1,2024-03,True
SH2033,V10032,2,1,0.8,2024-03,False
SH2013,V10032,6,4,2.0,2024-09,True
SH2014,V10032,32,21,7.7,2024-09,False
SH2029,V10032,9,5,4.2,2024-07,True
SH2022,V10033,8,7,6.2,2024-04,False
SH2042,V10033,15,13,11.3,2024-09,False
SH2055,V10033,6,4,3.3,2024-03,False
SH2009,V10033,3,1,0.8,2024-02,False
SH2047,V10033,3,2,1.8,2024-07,False
SH2051,V10033,52,43,30.9,2024-01,False
SH2038,V10033,6,3,2.0,2024-03,False
SH2002,V10033,29,16,13.5,2024-05,True
SH2005,V10033,5,2,1.4,2024-08,False
SH2058,V10033,20,16,13.4,2024-02,True
SH2027,V10033,3,2,1.2,2024-06,False
SH2056,V10033,27,22,15.5,2024-10,False
SH2012,V10033,2,1,0.8,2024-10,False
SH2053,V10033,31,26,8.2,2024-03,True
SH2000,V10033,2,1,0.8,2024-08,False
SH2008,V10034,6,4,3.2,2024-08,True
SH2040,V10034,11,6,2.3,2024-01,False
SH2000,V10034,24,16,6.0,2024-06,True
SH2015,V10034,1,0,0.0,2024-06,False
SH2043,V10034,6,3,2.5,2024-02,False
SH2025,V10034,2,0,0.0,2024-04,False
SH2051,V10034,56,29,23.4,2024-06,False
SH2046,V10034,18,14,6.4,2024-07,False
SH2036,V10034,4,2,1.4,2024-05,False
SH2057,V10034,11,8,3.8,2024-02,False
SH2007,V10034,44,33,20.5,2023-11,False
SH2024,V10035,9,7,6.2,2023-12,False
SH2025,V10035,9,6,3.3,2024-01,False
SH2016,V10035,2,1,0.6,2024-05,False
SH2034,V10035,2,1,0.5,2024-04,False
SH2000,V10036,33,32,21.3,2024-01,True
SH2017,V10036,13,10,4.3,2024-10,True
SH2024,V10036,46,32,10.3,2024-09,False
SH2014,V10036,31,21,17.4,2024-05,False
SH2038,V10036,2,1,0.7,2024-10,False
SH2045,V10036,48,35,30.0,2024-03,True
SH2040,V10036,2,1,0.8,2024-03,False
SH2034,V10036,5,2,0.9,2023-11,False
SH2025,V10036,60,43,34.3,2024-03,False
SH2038,V10037,6,4,2.9,2024-10,False
SH2040,V10037,18,13,11.6,2024-04,True
SH2049,V10037,31,25,17.7,2024-02,False
SH2058,V10037,32,29,19.1,2024-04,False
SH2002,V10037,36,12,7.3,2023-12,False
SH2034,V10037,10,6,2.5,2024-08,False
SH2021,V10037,25,17,15.0,2024-07,False
SH2051,V10037,49,17,6.6,2024-05,False
SH2020,V10037,37,25,12.3,2024-01,False
SH2000,V10037,23,18,14.0,2024-10,False
SH2039,V10037,7,3,1.7,2024-02,False
,V10037,11,8,6.6,2023-12,True
SH2004,V10037,29,18,6.1,2024-05,False
SH2053,V10038,36,24,20.8,2024-05,False
SH2012,V10038,11,8,3.8,2024-04,False
SH2059,V10038,1,0,0.0,2024-04,False
SH2017,V10038,15,10,4.8,2024-04,False
SH2002,V10038,29,20,6.0,2024-07,True
SH2014,V10038,42,27,16.2,2024-04,False
SH2026,V10038,4,2,1.0,2024-05,False
SH2019,V10038,2,0,0.0,2024-02,False
SH2011,V10038,7,4,1.9,2024-10,True
SH2001,V10038,18,10,6.5,2024-05,False
SH2007,V10038,26,22,18.9,2024-10,False
SH2048,V10038,12,10,9.0,2024-10,True
SH2030,V10038,9,7,4.4,2024-02,False
SH2058,V10038,12,10,4.1,2024-02,False
SH2045,V10038,18,11,5.8,2024-05,True
SH2052,V10039,15,9,7.6,2024-02,True
SH2056,V10039,16,13,9.2,2024-09,False
SH2030,V10039,4,2,0.9,2024-03,False
SH2006,V10039,4,1,0.3,2024-06,False
SH2027,V10040,2,0,0.0,2024-07,False
SH2044,V10040,7,3,2.5,2024-09,False
SH2001,V10040,25,16,5.5,2024-06,False
SH2043,V10040,15,9,5.9,2024-05,False
SH2030,V10040,1,0,0.0,2024-10,False
SH2017,V10040,25,18,15.9,2024-10,False
SH2007,V10040,26,11,3.9,2024-08,False
SH2032,V10040,4,3,2.2,2024-01,False
SH2026,V10040,5,4,3.4,2024-05,True
SH2009,V10040,20,15,4.8,2024-09,False
SH2051,V10041,36,31,23.5,2024-03,False
SH2046,V10041,11,7,6.1,2024-05,True
SH2034,V10041,9,8,5.0,2023-11,False
SH2000,V10041,27,24,17.4,2024-01,False
SH2050,V10041,22,19,7.2,2024-03,True
SH2032,V10041,32,22,18.7,2024-06,False
SH2047,V10041,4,3,2.5,2024-06,True
SH2030,V10041,2,1,0.3,2023-12,False
SH2041,V10041,3,2,1.7,2024-09,False
SH2020,V10041,26,22,14.3,2024-01,False
SH2038,V10041,7,5,1.9,2024-04,False
SH2043,V10041,17,9,4.5,2024-05,True
SH2019,V10041,4,1,0.4,2023-12,False
SH2054,V10041,2,1,0.7,2024-02,False
SH2024,V10041,40,21,14.9,2024-10,False
SH2053,V10042,15,12,5.3,2024-10,False
SH2048,V10042,34,17,6.1,2024-01,False
SH2006,V10042,5,4,3.6,2023-12,False
SH2031,V10042,18,12,5.4,2024-10,False
SH2026,V10042,30,27,9.1,2024-04,False
SH2030,V10043,5,4,1.7,2023-12,False
SH2000,V10043,37,21,10.8,2024-08,True
SH2048,V10043,30,27,21.2,2024-03,True
SH2056,V10043,32,26,19.5,2023-12,True
SH2044,V10044,2,0,0.0,2024-06,False
SH2016,V10044,1,0,0.0,2024-07,False
SH2026,V10044,9,7,3.3,2024-08,False
SH2021,V10044,9,6,2.2,2024-05,True
SH2010,V10044,22,18,5.5,2024-02,True
SH2030,V10044,2,1,0.7,2024-02,False
SH2048,V10044,30,21,18.4,2024-04,False
SH2018,V10044,6,4,3.0,2024-05,True
SH2052,V10044,9,3,1.3,2024-10,True
SH2058,V10044,26,20,12.7,2024-07,False
SH2027,V10044,2,1,0.7,2024-07,False
SH2038,V10044,6,4,3.4,2024-10,False
SH2002,V10044,14,10,5.4,2024-09,False
SH2024,V10044,27,9,3.9,2024-08,False
SH2036,V10045,6,5,4.0,2024-10,True
SH2030,V10045,8,4,2.1,2023-12,False
SH2058,V10045,31,23,20.3,2024-05,True
SH2052,V10045,8,5,3.4,2024-10,False
SH2010,V10046,36,28,9.6,2024-02,False
SH2057,V10046,8,6,3.9,2023-11,False
SH2026,V10046,12,6,5.0,2024-03,False
SH2048,V10046,4,3,1.6,2024-07,False
SH2012,V10046,2,1,0.8,2024-01,False
SH2041,V10046,13,10,7.0,2023-11,False
SH2051,V10046,46,26,14.4,2024-06,True
SH2033,V10047,4,3,1.8,2024-10,True
SH2056,V10047,24,21,8.5,2024-02,False
SH2004,V10047,44,41,21.7,2024-09,True
SH2029,V10048,14,7,6.2,2024-07,False
SH2016,V10048,2,0,0.0,2024-10,False
SH2001,V10048,25,17,10.5,2024-06,False
SH2009,V10048,12,8,7.1,2024-08,True
SH2056,V10048,21,4,1.8,2024-02,True
SH2055,V10048,26,8,5.8,2024-05,False
SH2021,V10048,1,0,0.0,2024-05,False
SH2025,V10048,50,40,22.3,2023-11,False
SH2014,V10048,1,0,0.0,2024-07,False
SH2033,V10048,7,4,1.4,2024-03,False
SH2005,V10048,4,2,1.0,2024-08,False
SH2000,V10048,15,12,9.9,2024-05,True
SH2018,V10048,7,4,2.5,2024-08,False
SH2015,V10048,6,3,2.3,2024-07,False
SH2043,V10048,4,3,2.2,2023-11,True
SH2025,V10049,18,11,9.6,2024-03,True
SH2015,V10049,1,0,0.0,2024-08,False
SH2001,V10049,27,19,1024.5,2024-04,False
SH2018,V10049,8,5,4.4,2023-11,False
SH2009,V10049,15,12,6.0,2024-06,True
SH2027,V10049,1,0,0.0,2024-07,False
SH2057,V10050,12,5,4.3,2024-01,True
SH2011,V10050,7,5,3.7,2023-11,False
SH2045,V10050,19,16,11.0,2024-07,False
SH2026,V10051,28,17,14.5,2024-10,True
SH2041,V10051,6,3,2.2,2023-12,False
SH2040,V10051,7,5,1.5,2024-09,True
SH2049,V10051,3,2,0.7,2023-11,False
SH2044,V10051,1,0,0.0,2024-04,False
SH2029,V10051,7,3,2.0,2024-02,False
SH2045,V10051,20,18,7.1,2024-02,False
SH2017,V10052,25,19,10.9,2024-03,False
SH2032,V10052,21,20,6.6,2024-04,True
SH2022,V10052,7,4,1.7,2023-12,True
SH2051,V10052,42,28,16.6,2024-10,True
SH2018,V10052,5,3,2.5,2024-07,False
SH2048,V10053,22,15,5.6,2024-03,True
SH2053,V10053,14,9,3.8,2024-02,False
SH2007,V10053,16,8,4.0,2024-06,True
SH2017,V10053,20,17,9.4,2024-06,False
SH2011,V10053,9,5,2.4,2024-10,False
SH2013,V10053,6,5,3.8,2024-10,False
SH2037,V10053,56,45,23.3,2024-02,True
SH2034,V10053,1,0,0.0,2024-09,False
SH2028,V10054,11,8,6.1,2024-05,True
SH2026,V10054,24,19,10.9,2023-12,True
SH2041,V10054,22,16,5.7,2024-10,False
SH2030,V10054,1,0,0.0,2024-01,False
SH2056,V10054,33,19,11.2,2024-02,False
SH2033,V10054,6,4,1.5,2023-12,False
SH2037,V10054,36,34,30.0,2023-12,False
SH2003,V10054,2,0,0.0,2024-06,False
SH2043,V10054,16,12,10.6,2024-05,True
SH2009,V10054,3,2,0.9,2024-08,False
SH2039,V10054,5,3,1.0,2024-01,False
SH2053,V10054,44,38,12.6,2024-09,False
SH2051,V10054,55,39,12.2,2023-11,True
SH2040,V10054,40,9,6.0,2024-02,False
SH2030,V10055,6,2,0.9,2023-11,False
SH2018,V10055,7,4,1.5,2023-11,False
SH2058,V10055,23,11,9.5,2024-04,False
SH2000,V10055,12,10,4.2,2024-03,True
SH2025,V10055,8,6,3.4,2024-02,False
SH2001,V10055,23,19,6.9,2024-07,False
SH2051,V10056,40,33,14.0,2024-08,True
SH2014,V10056,3,2,1.5,2023-11,False
SH2033,V10056,5,4,1.5,2024-07,False
SH2008,V10056,10,8,6.0,2024-10,False
SH2042,V10056,27,22,10.9,2023-11,False
SH2032,V10056,36,26,11.8,2023-11,False
SH2010,V10056,30,27,10.6,2023-11,False
SH2016,V10056,4,3,1.8,2024-06,True
SH2009,V10056,1,0,0.0,2023-12,False
SH2040,V10056,7,6,3.6,2024-10,False
SH2054,V10056,5,4,3.6,2024-10,True
SH2034,V10056,5,3,1.0,2024-06,False
SH2000,V10056,32,16,5.2,2024-03,False
SH2002,V10057,36,30,23.2,2024-06,True
SH2031,V10057,13,7,5.4,2024-07,False
SH2044,V10057,2,1,0.7,2023-11,False
SH2024,V10057,26,17,9.2,2024-08,False
SH2019,V10057,4,2,0.6,2024-04,False
SH2042,V10057,11,8,2.5,2024-09,False
SH2027,V10057,4,2,1.6,2024-05,False
SH2045,V10057,15,10,8.5,2024-07,True
SH2018,V10057,4,2,1.0,2024-10,False
SH2016,V10057,2,1,0.8,2024-03,False
SH2057,V10057,3,2,1.7,2024-10,False
SH2051,V10057,40,36,14.0,2023-12,True
SH2021,V10057,13,5,2.9,2024-09,True
SH2046,V10057,5,3,2.7,2024-02,False
SH2058,V10058,13,10,5.1,2024-02,False
SH2057,V10058,4,2,0.8,2024-10,False
SH2049,V10058,14,11,8.0,2024-03,False
SH2025,V10058,13,8,2.4,2024-05,False
SH2030,V10058,1,0,0.0,2023-11,False
SH2002,V10058,30,25,21.2,2024-05,False
SH2027,V10058,4,3,1.4,2024-08,True
SH2028,V10058,4,2,1.6,2024-01,False
SH2002,V10059,6,5,4.0,2024-01,False
SH2022,V10059,7,5,2.7,2024-02,True
SH2024,V10059,45,32,13.7,2024-05,False
SH2027,V10059,1,0,0.0,2024-08,False
SH2046,V10059,4,2,1.5,2024-08,False
SH2043,V10059,13,9,7.9,2024-08,True
SH2003,V10059,1,0,0.0,2023-12,False
SH2057,V10059,4,2,0.6,2024-07,False
SH2004,V10059,26,23,7.9,2024-06,False
SH2030,V10059,5,2,1.0,2024-02,False
SH2048,V10059,25,16,13.4,2024-09,True
SH2016,V10059,2,1,0.6,2023-11,False
SH2021,V10060,11,6,2.1,2024-03,False
SH2000,V10060,48,40,28.6,2024-06,True
SH2042,V10060,12,6,2.8,2024-09,True
SH2037,V10060,34,23,15.6,2024-07,True
SH2051,V10060,19,14,8.8,2024-04,False
SH2024,V10060,37,27,16.3,2024-07,True
SH2013,V10061,0,6,4.5,2024-08,False
SH2029,V10061,3,1,0.3,2023-12,False
SH2051,V10061,11,9,3.3,2024-03,False
SH2032,V10061,36,26,20.3,2024-01,True
SH2019,V10062,4,2,1.3,2024-01,False
SH2000,V10062,17,13,8.9,2024-03,False
SH2016,V10062,2,1,0.9,2024-08,False
SH2058,V10062,26,17,14.5,2024-08,False
SH2029,V10062,14,11,8.5,2024-09,False
SH2043,V10062,12,5,3.7,2024-04,True
SH2021,V10062,13,6,2.9,2024-07,False
SH2051,V10062,42,37,29.3,2023-11,False
SH2037,V10062,56,30,18.2,2024-07,False
SH2052,V10062,3,1,0.3,2024-08,False
SH2053,V10062,24,18,9.3,2023-11,True
SH2039,V10062,6,3,1.4,2024-05,True
SH2022,V10062,8,4,2.5,2024-10,True
SH2055,V10062,53,48,15.0,2024-05,True
SH2036,V10063,3,2,0.7,2024-09,False
SH2043,V10063,3,1,0.6,2024-10,False
SH2014,V10063,28,20,6.6,2024-08,True
SH2039,V10063,5,3,1.0,2024-04,True
SH2051,V10063,13,7,6.0,2024-02,True
SH2045,V10064,36,20,7.0,2024-10,False
SH2052,V10064,4,2,1.2,2024-07,False
SH2059,V10064,4,3,1.6,2024-10,True
SH2008,V10064,8,3,2.0,2024-10,True
SH2003,V10064,2,1,0.6,2024-01,False
SH2012,V10065,12,8,4.9,2024-05,False
