viewer_id,subscription_start,subscription_status,months_subscribed,churned_after_show,age_group
V10130,2024-07-03,Active,3,,25-34
V10131,2024-07-03,Cancelled,3,,18-24
V10132,2024-04-04,Paused,6,,18-24
V10133,2024-04-04,Paused,6,,45-54
V10134,2022-10-02,Active,24,,25-34
V10135,2023-10-02,Cancelled,12,,35-44
V10136,2024-07-03,Cancelled,3,,25-34
V10137,2024-04-04,Active,6,,25-34
V10138,2024-09-01,Active,1,,25-34
V10139,2024-04-04,Active,6,,25-34
V10140,2024-04-04,Active,6,,25-34
V10141,2024-09-01,Active,1,,55+
V10142,2024-07-03,Cancelled,3,,25-34
V10143,2023-10-02,Active,12,,25-34
V10144,2024-04-04,Active,6,,55+
V10145,2022-10-02,Paused,24,,18-24
V10146,2023-10-02,Cancelled,12,SH2039,25-34
V10147,2023-10-02,Active,12,,45-54
V10148,2022-10-02,Cancelled,24,,45-54
V10149,2024-07-03,Active,3,,35-44
V10150,2026-03-15,Active,24,,35-44
V10151,2023-10-02,Active,12,,35-44
V10152,2022-10-02,Active,24,,35-44
V10153,2024-04-04,Active,6,,25-34
V10154,2024-04-04,Active,6,,18-24
V10155,2024-07-03,Active,3,,25-34
V10156,2024-07-03,Active,3,,35-44
V10157,2024-07-03,Cancelled,3,,25-34
V10158,2024-04-04,Paused,6,,45-54
V10159,2023-10-02,Cancelled,12,SH2001,18-24
V10160,2023-10-02,Cancelled,12,,25-34
V10161,2024-09-01,Cancelled,1,,18-24
V10162,2023-10-02,Active,12,,25-34
V10163,2023-10-02,Active,12,,35-44
V10164,2023-10-02,Active,12,,25-34
V10165,2024-07-03,Active,3,,55+
V10166,2024-04-04,Active,6,,25-34
V10167,2022-10-02,Active,24,,35-44
V10168,2024-04-04,Active,6,,18-24
V10169,2022-10-02,Cancelled,24,,35-44
V10170,2022-10-02,Active,24,,25-34
V10171,2024-04-04,Active,6,,25-34
V10172,2023-10-02,Cancelled,12,,55+
V10173,2024-09-01,Paused,1,,45-54
V10174,2024-09-01,Cancelled,1,,45-54
V10175,2024-04-04,Active,6,,18-24
V10176,2024-07-03,Cancelled,3,,18-24
V10177,2024-04-04,Active,6,,55+
V10178,2024-07-03,Active,3,,35-44
V10179,2024-04-04,Active,6,,25-34
V10180,2024-09-01,Active,1,,25-34
V10181,2024-04-04,Cancelled,6,,25-34
V10182,2023-10-02,Active,12,,35-44
V10183,2024-07-03,Paused,3,,18-24
V10184,2024-04-04,Active,6,,55+
V10185,2024-04-04,Active,6,,18-24
V10186,2023-10-02,Active,12,,45-54
V10187,2024-07-03,Active,3,,18-24
V10188,2024-04-04,Active,6,,18-24
V10189,2023-10-02,Active,12,,35-44
V10190,2024-04-04,Active,6,,35-44
V10191,2024-07-03,Active,3,,45-54
V10192,2022-10-02,Active,24,,25-34
V10193,2023-10-02,Active,12,,18-24
V10194,2024-07-03,Active,3,,35-44
V10195,2024-09-01,Active,1,,25-34
V10196,2023-10-02,Active,12,,18-24
V10197,2023-10-02,Active,12,,35-44
V10198,2024-07-03,Active,3,,25-34
V10199,2023-10-02,Cancelled,12,,45-54
V10200,2023-10-02,Active,12,,25-34
V10201,2022-10-02,Active,24,,18-24
V10202,2024-07-03,Active,3,,25-34
V10203,2024-04-04,Active,6,,45-54
V10204,2022-10-02,Active,24,,25-34
V10205,2024-04-04,Active,6,,25-34
V10206,2023-10-02,Active,12,,35-44
V10207,2024-04-04,Active,6,,55+
V10208,2023-10-02,Active,12,,45-54
V10209,2024-04-04,Cancelled,6,,45-54
V10210,2024-09-01,Active,1,,35-44
V10211,2023-10-02,Active,12,,18-24
V10212,2022-10-02,Paused,24,,35-44
V10213,2024-07-03,Active,3,,18-24
V10214,2022-10-02,Active,24,,35-44
V10215,2024-07-03,Active,3,,35-44
V10216,2022-10-02,Active,24,,18-24
V10217,2024-09-01,Cancelled,1,,45-54
V10218,2023-10-02,Active,12,,25-34
V10219,2022-10-02,Active,24,,25-34
V10220,2024-04-04,Active,6,,25-34
V10221,2023-10-02,Active,12,,35-44
V10222,2024-07-03,Active,3,,25-34
V10223,2024-04-04,Active,6,,25-34
V10224,2024-04-04,Active,6,,35-44
V10225,2022-10-02,Active,24,,25-34
V10226,2024-09-01,Active,1,,35-44
V10227,2024-09-01,Active,1,,35-44
V10228,2024-07-03,Cancelled,3,SH2016,18-24
V10229,2024-04-04,Active,6,,35-44
V10230,2024-04-04,Active,6,,18-24
V10231,2024-09-01,Paused,1,,18-24
V10232,2024-09-01,Active,1,,45-54
V10233,2021-10-02,Cancelled,36,,35-44
V10234,2024-09-01,Paused,1,,45-54
V10235,2023-10-02,Cancelled,12,,35-44
V10236,2021-10-02,Cancelled,36,,35-44
V10237,2024-09-01,Active,1,,18-24
V10238,2024-04-04,Paused,6,,35-44
V10239,2024-04-04,Active,6,,18-24
V10240,2023-10-02,Active,12,,18-24
V10241,2024-04-04,Cancelled,6,SH2034,35-44
V10242,2024-07-03,Cancelled,3,,18-24
V10243,2024-07-03,Active,3,,18-24
V10244,2023-10-02,Active,12,,35-44
V10245,2024-09-01,Active,1,,35-44
V10246,2023-10-02,Active,12,,35-44
V10247,2022-10-02,Active,24,,25-34
V10248,2024-09-01,Cancelled,1,,18-24
V10249,2024-04-04,Cancelled,6,,45-54
V10250,2024-04-04,Cancelled,6,,25-34
V10251,2023-10-02,Cancelled,12,,55+
V10252,2024-04-04,Active,6,,35-44
V10253,2024-07-03,Active,3,,25-34
V10254,2024-07-03,Active,3,,25-34
V10255,2024-09-01,Active,1,,55+
V10256,2024-04-04,Active,6,,35-44
V10257,2024-07-03,Cancelled,3,SH2005,45-54
V10258,2021-10-02,Cancelled,36,,35-44
V10259,2021-10-02,Active,36,,18-24
V10260,2024-04-04,Cancelled,6,,25-34
V10261,2024-09-01,Active,1,,25-34
V10262,2024-09-01,Paused,1,,45-54
V10263,2022-10-02,Active,24,,25-34
V10264,2024-04-04,Active,6,,35-44
V10265,2024-07-03,Active,3,,25-34
V10266,2021-10-02,Cancelled,36,,25-34
V10267,2023-10-02,Active,12,,45-54
V10268,2022-10-02,Active,24,,25-34
V10269,2024-07-03,Active,3,,18-24
V10270,2022-10-02,Active,24,,25-34
V10271,2022-10-02,Active,24,,25-34
V10272,2024-07-03,Active,3,,35-44
V10273,2024-09-01,Active,1,,55+
V10274,2024-09-01,Cancelled,1,SH2044,55+
V10275,2024-04-04,Active,6,,45-54
V10276,2024-07-03,Active,3,,35-44
V10277,2024-07-03,Cancelled,3,,45-54
V10278,2022-10-02,Cancelled,24,,35-44
V10279,2023-10-02,Active,12,,35-44
V10280,2023-10-02,Active,12,,45-54
V10281,2022-10-02,Active,24,,45-54
V10282,2024-09-01,Active,1,,35-44
V10283,2024-07-03,Cancelled,3,,45-54
V10284,2024-09-01,Active,1,,35-44
V10285,2021-10-02,Active,36,,25-34
V10286,2023-10-02,Active,12,,45-54
V10287,2024-09-01,Cancelled,1,,35-44
V10288,2024-07-03,Active,3,,55+
V10289,2024-09-01,Cancelled,1,SH2026,35-44
V10290,2024-07-03,Cancelled,3,,35-44
V10291,2024-09-01,Active,1,,45-54
V10292,2021-10-02,Active,36,,25-34
V10293,2023-10-02,Active,12,,25-34
V10294,2024-09-01,Cancelled,1,,25-34
V10295,2024-07-03,Active,3,,25-34
V10296,2024-04-04,Cancelled,6,,18-24
V10297,2024-04-04,Cancelled,6,,25-34
V10298,2023-10-02,Active,12,,18-24
V10299,2022-10-02,Paused,24,,18-24
V10300,2023-10-02,Cancelled,-5,,45-54
V10301,2023-10-02,Active,12,,25-34
V10302,2024-07-03,Active,3,,35-44
V10303,2024-07-03,Cancelled,3,,35-44
V10304,2024-04-04,Active,6,,25-34
V10305,2024-07-03,Active,3,,25-34
V10306,2024-04-04,Active,6,,18-24
V10307,2023-10-02,Active,12,,55+
V10308,2021-10-02,Active,36,,25-34
V10309,2024-09-01,Active,1,,35-44
V10310,2024-07-03,Active,3,,25-34
V10311,2024-07-03,Active,3,,25-34
V10312,2024-04-04,Active,6,,55+
V10313,2024-09-01,Active,1,,35-44
V10314,2024-04-04,Paused,6,,35-44
V10315,2023-10-02,Cancelled,12,,55+
V10316,2023-10-02,Active,12,,18-24
V10317,2024-09-01,Active,1,,18-24
V10318,2024-04-04,Active,6,,25-34
V10319,2023-10-02,Cancelled,12,,18-24
V10320,2022-10-02,Active,24,,45-54
V10321,2024-04-04,Active,6,,55+
V10322,2024-07-03,Active,3,,45-54
V10323,2024-09-01,Active,1,,55+
V10324,2024-09-01,Cancelled,1,,35-44
V10325,2023-10-02,Active,12,,55+
V10326,2022-10-02,Active,24,,45-54
V10327,2023-10-02,Active,12,,35-44
V10328,2024-04-04,Active,6,,45-54
V10329,2024-04-04,Active,6,,25-34
V10330,2024-04-04,Active,6,,35-44
V10331,2023-10-02,Active,12,,35-44
V10332,2024-07-03,Active,3,,35-44
V10333,2022-10-02,Active,24,,18-24
V10334,2024-07-03,Active,3,,35-44
V10335,2024-07-03,Active,3,,25-34
V10336,2024-09-01,Active,1,,25-34
V10337,2024-04-04,Active,6,,45-54
V10338,2024-07-03,Paused,3,,25-34
V10339,2022-10-02,Active,24,,35-44
V10340,2023-10-02,Active,12,,35-44
V10341,2024-04-04,Active,6,,18-24
V10342,2024-04-04,Active,6,,35-44
V10343,2023-10-02,Active,12,,55+
V10344,2024-07-03,Active,3,,25-34
V10345,2024-04-04,Cancelled,6,,25-34
V10346,2024-04-04,Active,6,,35-44
V10347,2024-04-04,Active,6,,25-34
V10348,2024-09-01,Active,1,,18-24
V10349,2024-04-04,Active,6,,35-44
V10350,2023-10-02,Active,12,,35-44
V10351,2024-07-03,Active,3,,45-54
V10352,2024-09-01,Active,1,,35-44
V10353,2024-04-04,Active,6,,25-34
V10354,2022-10-02,Active,24,,25-34
V10355,2024-04-04,Active,6,,18-24
V10356,2024-04-04,Active,6,,55+
V10357,2024-07-03,Active,3,,25-34
V10358,2023-10-02,Active,12,,35-44
V10359,2023-10-02,Active,12,,25-34
V10360,2022-10-02,Active,24,,35-44
V10361,2024-09-01,Paused,1,,18-24
V10362,2024-07-03,Active,3,,35-44
V10363,2024-07-03,Active,3,,18-24
V10364,2024-09-01,Active,1,,35-44
V10365,2024-04-04,Active,6,,35-44
V10366,2024-09-01,Active,1,,55+
V10367,2024-04-04,Active,6,,35-44
V10368,2024-07-03,Active,3,,18-24
V10369,2024-09-01,Active,1,,55+
V10370,2023-10-02,Active,12,,25-34
V10371,2023-10-02,Active,12,,25-34
V10372,2021-10-02,Active,36,,35-44
V10373,2021-10-02,Active,36,,18-24
V10374,2024-07-03,Cancelled,3,,45-54
V10375,2024-09-01,Cancelled,1,,55+
V10376,2022-10-02,Cancelled,24,,35-44
V10377,2024-07-03,Active,3,,35-44
V10378,2024-07-03,Cancelled,3,,55+
V10379,2024-09-01,Active,1,,18-24
V10380,2023-10-02,Cancelled,12,,55+
V10381,2022-10-02,Cancelled,24,,25-34
V10382,2024-04-04,Active,6,,35-44
V10383,2024-07-03,Active,3,,35-44
V10384,2024-04-04,Active,6,,35-44
V10385,2024-04-04,Active,6,,25-34
V10386,2024-09-01,Active,1,,25-34
V10387,2023-10-02,Cancelled,12,,35-44
V10388,2021-10-02,Cancelled,36,,55+
V10389,2024-09-01,Active,1,,35-44
V10390,2024-07-03,Active,3,,25-34
V10391,2024-04-04,Active,6,,35-44
V10392,2024-04-04,Cancelled,6,,25-34
V10393,2024-09-01,Paused,1,,35-44
V10394,2024-04-04,Active,6,,25-34
V10395,2024-07-03,Active,3,,35-44
V10396,2024-04-04,Active,6,,55+
V10397,2024-04-04,Active,6,,18-24
V10398,2023-10-02,Active,12,,55+
V10399,2022-10-02,Active,24,,18-24
V10400,2022-10-02,Cancelled,24,SH2048,25-34
V10401,2024-04-04,Active,6,,55+
V10402,2024-04-04,Cancelled,6,SH2041,35-44
V10403,2024-09-01,Active,1,,35-44
V10404,2024-04-04,Active,6,,45-54
V10405,2023-10-02,Active,12,,25-34
V10406,2022-10-02,Cancelled,24,SH2003,35-44
V10407,2024-07-03,Cancelled,3,,25-34
V10408,2024-09-01,Active,1,,25-34
V10409,2024-04-04,Active,6,,35-44
V10410,2022-10-02,Active,24,,18-24
V10411,2024-09-01,Active,1,,35-44
V10412,2024-04-04,Active,6,,25-34
V10413,2024-04-04,Active,6,,55+
V10414,2024-09-01,Active,1,,25-34
V10415,2024-04-04,Active,6,,35-44
V10416,2021-10-02,Active,36,,18-24
V10417,2023-10-02,Active,12,,25-34
V10418,2024-09-01,Active,1,,45-54
V10419,2024-07-03,Active,3,,25-34
V10420,2024-04-04,Active,6,,35-44
V10421,2024-09-01,Cancelled,1,,25-34
V10422,2022-10-02,Active,24,,35-44
V10423,2024-07-03,Active,3,,35-44
V10424,2021-10-02,Active,36,,35-44
V10425,2023-10-02,Active,12,,18-24
V10426,2024-04-04,Paused,6,,25-34
V10427,2023-10-02,Active,12,,35-44
V10428,2024-09-01,Active,1,,45-54
V10429,2024-07-03,Active,3,,45-54
V10430,2022-10-02,Active,24,,25-34
V10431,2024-07-03,Paused,3,,55+
V10432,2024-04-04,Cancelled,6,,35-44
V10433,2024-09-01,Cancelled,1,,18-24
V10434,2023-10-02,Active,12,,18-24
V10435,2024-07-03,Active,3,,25-34
V10436,2024-09-01,Cancelled,1,,35-44
V10437,2024-04-04,Active,6,,35-44
V10438,2024-04-04,Cancelled,6,,25-34
V10439,2022-10-02,Active,24,,55+
V10440,2024-09-01,Cancelled,1,,25-34
V10441,2022-10-02,Cancelled,24,,45-54
V10442,2024-09-01,Active,1,,25-34
V10443,2023-10-02,Active,12,,55+
V10444,2023-10-02,Cancelled,12,,18-24
V10445,2022-10-02,Active,24,,35-44
V10446,2023-10-02,Active,12,,35-44
V10447,2024-04-04,Active,6,,25-34
V10448,2024-09-01,Active,1,,18-24
V10449,2021-10-02,Active,36,,55+
V10450,2024-04-04,Suspended,6,,35-44
V10451,2024-04-04,Active,6,,35-44
V10452,2024-07-03,Active,3,,35-44
V10453,2024-07-03,Active,3,,45-54
V10454,2024-04-04,Active,6,,55+
V10455,2024-09-01,Active,1,,55+
V10456,2024-07-03,Active,3,,18-24
V10457,2024-07-03,Active,3,,35-44
V10458,2024-09-01,Active,1,,55+
V10459,2022-10-02,Active,24,,25-34
V10460,2023-10-02,Active,12,,25-34
V10461,2024-09-01,Cancelled,1,SH2006,25-34
V10462,2024-04-04,Active,6,,25-34
V10463,2024-04-04,Paused,6,,25-34
V10464,2024-09-01,Active,1,,45-54
V10465,2024-04-04,Active,6,,25-34
V10466,2023-10-02,Active,12,,45-54
V10467,2023-10-02,Active,12,,18-24
V10468,2024-09-01,Active,1,,25-34
V10469,2023-10-02,Active,12,,25-34
V10470,2024-09-01,Active,1,,45-54
V10471,2024-07-03,Active,3,,45-54
V10472,2023-10-02,Cancelled,12,,25-34
V10473,2024-09-01,Active,1,,35-44
V10474,2022-10-02,Cancelled,24,SH2049,18-24
V10475,2024-09-01,Cancelled,1,,25-34
V10476,2023-10-02,Cancelled,12,,35-44
V10477,2024-09-01,Active,1,,25-34
V10478,2023-10-02,Active,12,,35-44
V10479,2024-09-01,Active,1,,35-44
V10480,2024-09-01,Active,1,,18-24
V10481,2021-10-02,Active,36,,25-34
V10482,2024-07-03,Active,3,,45-54
V10483,2023-10-02,Active,12,,25-34
V10484,2024-09-01,Active,1,,45-54
V10485,2024-07-03,Active,3,,18-24
V10486,2021-10-02,Active,36,,45-54
V10487,2023-10-02,Active,12,,25-34
V10488,2024-09-01,Active,1,,45-54
V10489,2023-10-02,Active,12,,18-24
V10490,2021-10-02,Cancelled,36,,25-34
V10491,2023-10-02,Active,12,,35-44
V10492,2022-10-02,Active,24,,18-24
V10493,2024-07-03,Cancelled,3,,25-34
V10494,2024-04-04,Active,6,,35-44
V10495,2022-10-02,Active,24,,18-24
V10496,2024-07-03,Cancelled,3,SH2031,35-44
V10497,2024-07-03,Cancelled,3,,25-34
V10498,2023-10-02,Active,12,,55+
V10499,2023-10-02,Active,12,,25-34
V10500,2024-09-01,Active,1,,45-54
V10501,2024-07-03,Active,3,,35-44
V10502,2024-09-01,Active,1,,18-24
V10503,2021-10-02,Active,36,,25-34
V10504,2024-07-03,Active,3,,45-54
V10505,2023-10-02,Active,12,,18-24
V10506,2024-07-03,Active,3,,35-44
V10507,2022-10-02,Active,24,,25-34
V10508,2024-04-04,Cancelled,6,,35-44
V10509,2024-07-03,Active,3,,45-54
V10510,2023-10-02,Active,12,,35-44
V10511,2022-10-02,Active,24,,35-44
V10512,2024-04-04,Active,6,,35-44
V10513,2022-10-02,Cancelled,24,SH2056,45-54
V10514,2021-10-02,Active,36,,25-34
V10515,2024-09-01,Active,1,,45-54
V10516,2021-10-02,Active,36,,25-34
V10517,2023-10-02,Cancelled,12,,35-44
V10518,2024-04-04,Active,6,,18-24
V10519,2023-10-02,Active,12,,45-54
V10520,2024-09-01,Active,1,,25-34
V10521,2023-10-02,Active,12,,35-44
V10522,2024-04-04,Active,6,,35-44
V10523,2023-10-02,Cancelled,12,,25-34
V10524,2024-04-04,Active,6,,18-24
V10525,2024-07-03,Cancelled,3,,35-44
V10526,2024-04-04,Active,6,,18-24
V10527,2024-07-03,Active,3,,18-24
V10528,2024-07-03,Active,3,,35-44
V10529,2021-10-02,Cancelled,36,,35-44
V10530,2023-10-02,Cancelled,12,,18-24
V10531,2022-10-02,Active,24,,35-44
V10532,2024-04-04,Active,6,,25-34
V10533,2024-07-03,Active,3,,18-24
V10534,2022-10-02,Active,24,,35-44
V10535,2024-07-03,Cancelled,3,,25-34
V10536,2022-10-02,Cancelled,24,,25-34
V10537,2024-04-04,Active,6,,18-24
V10538,2024-09-01,Active,1,,25-34
V10539,2024-04-04,Active,6,,45-54
V10540,2024-07-03,Active,3,,18-24
V10541,2023-10-02,Active,12,,55+
V10542,2024-09-01,Active,1,,25-34
V10543,2024-07-03,Active,3,,55+
V10544,2024-07-03,Active,3,,45-54
V10545,2024-04-04,Cancelled,6,,18-24
V10546,2024-09-01,Active,1,,55+
V10547,2024-09-01,Active,1,,25-34
V10548,2024-07-03,Cancelled,3,,18-24
V10549,2021-10-02,Active,36,,55+
V10550,2024-09-01,Active,1,,25-34
V10551,2023-10-02,Paused,12,,25-34
V10552,2023-10-02,Active,12,,35-44
V10553,2024-04-04,Paused,6,,35-44
V10554,2024-07-03,Active,3,,25-34
V10555,2024-07-03,Active,3,,45-54
V10556,2024-04-04,Active,6,,18-24
V10557,2022-10-02,Active,24,,18-24
V10558,2023-10-02,Active,12,,18-24
V10559,2024-04-04,Active,6,,25-34
V10560,2022-10-02,Cancelled,24,,35-44
V10561,2024-04-04,Active,6,,35-44
V10562,2024-09-01,Active,1,,45-54
V10563,2024-04-04,Active,6,,45-54
V10564,2024-07-03,Active,3,,25-34
V10565,2024-07-03,Cancelled,3,SH2020,35-44
V10566,2023-10-02,Active,12,,25-34
V10567,2022-10-02,Active,24,,45-54
V10568,2024-04-04,Active,6,,18-24
V10569,2024-07-03,Active,3,,25-34
V10570,2023-10-02,Active,12,,25-34
V10571,2024-04-04,Active,6,,25-34
V10572,2024-07-03,Active,3,,18-24
V10573,2024-04-04,Cancelled,6,,25-34
V10574,2023-10-02,Active,12,,45-54
V10575,2024-04-04,Active,6,,35-44
V10576,2024-07-03,Active,3,,25-34
V10577,2022-10-02,Active,24,,35-44
V10578,2024-04-04,Active,6,,25-34
V10579,2023-10-02,Cancelled,12,,25-34
V10580,2021-10-02,Cancelled,36,,18-24
V10581,2024-07-03,Paused,3,,25-34
V10582,2024-09-01,Active,1,,25-34
V10583,2021-10-02,Paused,36,,35-44
V10584,2024-09-01,Active,1,,18-24
V10585,2024-09-01,Cancelled,1,,25-34
V10586,2021-10-02,Active,36,,25-34
V10587,2022-10-02,Active,24,,45-54
V10588,2021-10-02,Cancelled,36,,35-44
V10589,2024-07-03,Cancelled,3,,45-54
V10590,2024-07-03,Active,3,,18-24
V10591,2023-10-02,Active,12,,55+
V10592,2023-10-02,Active,12,,35-44
V10593,2024-04-04,Active,6,,35-44
V10594,2022-10-02,Cancelled,24,SH2015,25-34
V10595,2024-09-01,Active,1,,18-24
V10596,2023-10-02,Active,12,,35-44
V10597,2021-10-02,Active,36,,18-24
V10598,2024-07-03,Cancelled,3,,25-34
V10599,2024-09-01,Cancelled,1,,25-34
,2022-10-02,Active,24,,45-54
V10601,2024-09-01,Cancelled,1,,35-44
V10602,2024-09-01,Active,1,,25-34
V10603,2024-04-04,Active,6,,25-34
V10604,2024-09-01,Active,1,,45-54
V10605,2024-04-04,Active,6,,25-34
V10606,2024-09-01,Paused,1,,18-24
V10607,2023-10-02,Paused,12,,45-54
V10608,2023-10-02,Cancelled,12,,55+
V10609,2024-04-04,Active,6,,35-44
V10610,2023-10-02,Active,12,,25-34
V10611,2024-09-01,Active,1,,25-34
V10612,2024-09-01,Active,1,,25-34
V10613,2022-10-02,Active,24,,25-34
V10614,2023-10-02,Active,12,,18-24
V10615,2022-10-02,Cancelled,24,,25-34
V10616,2021-10-02,Active,36,,35-44
V10617,2022-10-02,Active,24,,25-34
V10618,2024-07-03,Cancelled,3,,35-44
V10619,2024-07-03,Active,3,,25-34
V10620,2023-10-02,Active,12,,18-24
V10621,2022-10-02,Active,24,,55+
V10622,2024-09-01,Active,1,,18-24
V10623,2022-10-02,Active,24,,18-24
V10624,2024-07-03,Active,3,,25-34
V10625,2022-10-02,Active,24,,45-54
V10626,2023-10-02,Active,12,,18-24
V10627,2024-07-03,Cancelled,3,SH2023,55+
V10628,2023-10-02,Active,12,,35-44
V10629,2023-10-02,Active,12,,25-34
V10630,2024-04-04,Active,6,,18-24
V10631,2024-09-01,Active,1,,55+
V10632,2024-07-03,Active,3,,25-34
V10633,2023-10-02,Active,12,,25-34
V10634,2024-04-04,Active,6,,18-24
V10635,2024-07-03,Active,3,,18-24
V10636,2024-07-03,Cancelled,3,,35-44
V10637,2024-07-03,Cancelled,3,SH2040,25-34
V10638,2022-10-02,Active,24,,45-54
V10639,2024-04-04,Active,6,,35-44
V10640,2024-09-01,Active,1,,55+
V10641,2024-07-03,Active,3,,35-44
